"LG","Position","Pop","Test","p","annotation","gene_name"
"LG04","19414022","Canada","pcangsd FDR-corrected","0.015","<25kb from gene"," "
"LG05","6397037","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62",""," "
"LG06","7636839","Canada","pcangsd FDR-corrected","0.041","transcript","Rasl10b"
"LG08","11368069","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","ttc19"
"LG08","17000256","Canada","pcangsd FDR-corrected","0.041","transcript","VAV3"
"LG09","4594578","Canada","pcangsd FDR-corrected","0.03","<25kb from gene"," "
"LG09","17806115","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","<25kb from gene"," "
"LG10","17956019","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","<25kb from gene"," "
"LG10","21108296","Canada","pcangsd FDR-corrected","0.041",""," "
"LG10","21984030","Canada","pcangsd FDR-corrected","0.013",""," "
"LG11","151161","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","NLRC3"
"LG11","12157169","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","5' UTR","SPAG1"
"LG13","17852488","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","RAD18"
"LG14","4209600","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","CYLD"
"LG14","13804181","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62",""," "
"LG15","10862853","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","PLEKHH2"
"LG16","20680847","Canada","Wright-Fisher null model FDR-corrected","0.35","<25kb from gene"," "
"LG18","12829490","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","<25kb from gene"," Otop3"
"LG18","17131267","Canada","pcangsd FDR-corrected","0.0046","transcript","PEMT"
"LG18","17149818","Canada","Wright-Fisher null model FDR-corrected","0.64","transcript","PEMT"
"LG18","17163432","Canada","pcangsd FDR-corrected","6e-05","<25kb from gene"," PEMT"
"LG19","6331449","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","KLHL8"
"LG19","6331458","Norway 1907-2011-2014","Wright-Fisher null model FDR-corrected","0.62","transcript","KLHL8"
"LG22","16939018","Canada","pcangsd FDR-corrected","0.0039","transcript","MYO1G"
